Name,Ring,Quadrant,Moved,comments
Azure ARM,RETIRE,1,NONE,
Bicep,EXPLORE,1,NONE,
Helm,ADOPT,1,NONE,
K8s Operators,EXPLORE,1,NONE,
JSON,ADOPT,1,NONE,
Powershell,ADOPT,1,NONE,
Terraform,ADOPT,1,NONE,
YAML,ADOPT,1,NONE,
BASH,ADOPT,1,NONE,
Python,ADOPT,1,NONE,
Azure DNS,ADOPT,2,NONE,
Palo Alto FW,ADOPT,2,NONE,
Private End Points,ADOPT,2,NONE,
Service End Points,ADOPT,2,NONE,
Azure Frontdoor,ADOPT,2,NONE,
Network Watcher,EXPLORE,2,NONE,
Azure VPN gateway,ADOPT,2,NONE,
Azure Sentinel,EXPLORE,2,NONE,
Qradar,RETIRE,2,NONE,
Azure Firewall,ADOPT,2,NONE,
Traffic Manager,ADOPT,2,NONE,
Splunk,ENDURE,2,NONE,
Azure Defender,ADOPT,2,NONE,
Sophos,ENDURE,2,NONE,
Private Links,ADOPT,2,NONE,
Azure express Route,ADOPT,2,NONE,
Akamai,ADOPT,2,NONE,
APP SERVICE,ADOPT,2,NONE,
Azure AD for VM,EXPLORE,2,NONE,
Azure APIM,ENDURE,2,NONE,
Azure Container Instances,RETIRE,2,NONE,
AKS Engine,RETIRE,2,NONE,
AKS,ADOPT,2,NONE,
Azure Monitor,ENDURE,2,NONE,
Azure NPM,EXPLORE,2,NONE,
Logic Apps,ADOPT,2,NONE,
Azure Recovery Service,ADOPT,2,NONE,
Azure Databricks,ADOPT,2,NONE,
Azure Datalake Store,ADOPT,2,NONE,
Azure SQL Managed Instance,ENDURE,2,NONE,
Cassandra,ENDURE,2,NONE,
CosmosDB,ENDURE,2,NONE,
MariaDB,RETIRE,2,NONE,
MySQL,ENDURE,2,NONE,
PostGres SQL,EXPLORE,2,NONE,
Service Bus,ADOPT,2,NONE,
SQL server ON VM,ENDURE,2,NONE,
Azure Virtual Desktop,ADOPT,2,NONE,
Apigee,ADOPT,2,NONE,
Azure DevOps,ADOPT,2,NONE,
Azure Artifacts,EXPLORE,2,NONE,
Cloudability,ENDURE,3,NONE,
Concourse,ENDURE,3,NONE,
Docker,ENDURE,3,NONE,
Flexera,ADOPT,3,NONE,
Github Actions,ADOPT,3,NONE,
Github,ADOPT,2,NONE,
Github Packages,ADOPT,3,NONE,
Grafana,RETIRE,3,NONE,
Jenkins,ENDURE,3,NONE,
New Relic,ADOPT,3,NONE,
PagerDuty,ADOPT,3,NONE,
Portworx,RETIRE,2,NONE,
Prisma,ADOPT,3,NONE,
Prometheus,RETIRE,3,NONE,
NGINX,ADOPT,2,NONE,
Semver,ADOPT,4,NONE,
SonarQube,ENDURE,3,NONE,
Nexus,ENDURE,3,NONE,
Velero,ENDURE,3,NONE,
Solar winds,ADOPT,3,NONE,
Sync,ADOPT,3,NONE,
Fortify,ADOPT,3,NONE,
Sendgrid,ADOPT,3,NONE,
Hashicrop Vault,ENDURE,3,NONE,
Infra-As-Code,ADOPT,4,NONE,
Documents-As-Code,ADOPT,4,NONE,
Config-As-Code,ADOPT,4,NONE,
Blue-Green Deployments,EXPLORE,4,NONE,
Ecosystem-Builder,ADOPT,3,NONE,
BrightCloud,ADOPT,3,NONE,
Muziris,ADOPT,3,NONE,
Pingdom,RETIRE,2,down,
Loggly,RETIRE,2,down,
Log Entries,RETIRE,2,down,
Hashicorp Vault,ENDURE,2,none,
Cosmos MongoDB,ENDURE,4,down,